"fullname","hbp_total","birthyear","birthcountry","throws"
"Gus Weyhing","277",1866,"USA","R"
"Chick Fraser","219",1873,"USA","R"
"Pink Hawley","210",1872,"USA","R"
"Walter Johnson","203",1887,"USA","R"
"Eddie Plank","191",1875,"USA","L"
"Randy Johnson","190",1963,"USA","L"
"Tim Wakefield","186",1966,"USA","R"
"Tony Mullane","185",1859,"Ireland",NULL
"Joe McGinnity","179",1871,"USA","R"
"Charlie Hough","174",1948,"USA","R"
"Clark Griffith","171",1869,"USA","R"
"Cy Young","161",1867,"USA","R"
"Jim Bunning","160",1931,"USA","R"
"Roger Clemens","159",1962,"USA","R"
"Nolan Ryan","158",1947,"USA","R"
"Vic Willis","156",1876,"USA","R"
"Charlie Morton","156",1983,"USA","R"
"Jamey Wright","155",1974,"USA","R"
"Bert Blyleven","155",1951,"Netherlands","R"
"Don Drysdale","154",1936,"USA","R"
"Adonis Terry","148",1864,"USA","R"
"Bert Cunningham","148",1865,"USA","R"
"Jamie Moyer","146",1962,"USA","L"
"Silver King","146",1868,"USA","R"
"Win Mercer","144",1874,"USA","R"
"A. J. Burnett","143",1977,"USA","R"
"Frank Foreman","142",1863,"USA","R"
"Pedro Martinez","141",1971,"D.R.","R"
"Ed Doheny","141",1873,"USA","L"
"Red Ehret","139",1868,"USA","R"
"Kevin Brown","139",1965,"USA","R"
"Chan Ho Park","138",1973,"South Korea","R"
"Howard Ehmke","137",1894,"USA","R"
"Greg Maddux","137",1966,"USA","R"
"Phil Knell","136",1865,"USA","L"
"John Lackey","133",1978,"USA","R"
"Matt Kilroy","131",1866,"USA","L"
"Jesse Tannehill","130",1874,"USA","L"
"George Mullin","130",1880,"USA","R"
"Kid Nichols","129",1869,"USA","R"
"Dave Stieb","129",1957,"USA","R"
"Frank Tanana","129",1953,"USA","L"
"Kenny Rogers","127",1964,"USA","L"
"Jack Taylor","126",1873,"USA","R"
"Kid Carsey","125",1872,"USA","R"
"Willie Sudhoff","125",1874,"USA","R"
"Jeff Weaver","124",1976,"USA","R"
"Tim Hudson","124",1975,"USA","R"
"Phil Niekro","123",1939,"USA","R"
"CC Sabathia","123",1980,"USA","L"
"Mark Baldwin","123",1863,"USA","R"
"Jim Kaat","122",1938,"USA","L"
"Dennis Martinez","122",1954,"Nicaragua","R"
"Hooks Dauss","121",1889,"USA","R"
"Jack Powell","120",1874,"USA","R"
"Doc White","119",1879,"USA","L"
"Al Leiter","117",1965,"USA","L"
"Orel Hershiser","117",1958,"USA","R"
"Darryl Kile","117",1968,"USA","R"
"Johnny Cueto","117",1986,"D.R.","R"
"Rube Waddell","115",1876,"USA","L"
"Jack Warhop","114",1884,"USA","R"
"Red Donahue","113",1873,"USA","R"
"George Uhle","113",1898,"USA","R"
"Ice Box Chamberlain","113",1867,"USA","R"
"Jack Chesbro","113",1874,"USA","R"
"Amos Rusie","112",1871,"USA","R"
"Aaron Sele","112",1970,"USA","R"
"Pedro Astacio","111",1968,"D.R.","R"
"Vicente Padilla","109",1977,"Nicaragua","R"
"Billy Rhines","108",1869,"USA","R"
"Gaylord Perry","108",1938,"USA","R"
"Max Scherzer","107",1984,"USA","R"
"Ed Reulbach","107",1882,"USA","R"
"Ed Willett","106",1884,"USA","R"
"Earl Moore","106",1877,"USA","R"
"David Cone","106",1963,"USA","R"
"Jim Lonborg","105",1942,"USA","R"
"Felix Hernandez","105",1986,"Venezuela","R"
"Jeff Pfeffer","105",1888,"USA","R"
"Bronson Arroyo","105",1977,"USA","R"
"Barney Pelty","104",1880,"USA","R"
"Ervin Santana","104",1982,"D.R.","R"
"Justin Verlander","104",1983,"USA","R"
"Scott Erickson","103",1968,"USA","R"
"Chris Sale","103",1989,"USA","L"
"Red Faber","103",1888,"USA","R"
"Randy Wolf","103",1976,"USA","L"
"Bob Gibson","102",1935,"USA","R"
"Charles Bender","102",1884,"USA","R"
"Carlos Zambrano","102",1981,"Venezuela","R"
"Frank Dwyer","101",1868,"USA","R"
"Earl Whitehill","101",1899,"USA","L"
"Tom Hughes","101",1878,"USA","R"
"Wilbur Cooper","100",1892,"USA","L"
"Cole Hamels","100",1983,"USA","L"
"Jack Stivetts","99",1868,"USA","R"
"Bob Caruthers","99",1864,"USA","R"
"Kerry Wood","99",1977,"USA","R"
"Don Cardwell","98",1935,"USA","R"
