"fullname","e","yearid"
"Jose Valentin",36,2000
"Marcus Semien",35,2015
"Ian Desmond",34,2010
"Mark Reynolds",34,2008
"Troy Glaus",33,2000
"Mike Lamb",33,2000
"Rafael Furcal",31,2003
"Edgar Renteria",30,2005
"Orlando Cabrera",29,2002
"Starlin Castro",29,2011
"Carlos Guillen",28,2006
"Angel Berroa",28,2004
"Ian Desmond",27,2015
"Rafael Furcal",27,2006
"Rafael Furcal",27,2002
"Pedro Alvarez",27,2013
"Phil Nevin",27,2001
"Juan Uribe",27,2002
"Pedro Alvarez",27,2012
"Edgar Renteria",27,2000
"Starlin Castro",27,2012
"Starlin Castro",27,2010
"Alex Gonzalez",26,2001
"Russ Adams",26,2005
"Casey Blake",26,2004
"Hanley Ramirez",26,2006
"Jason Bartlett",26,2007
"Phil Nevin",26,2000
"Ryan Braun",26,2007
"Mark Reynolds",26,2011
"Aramis Ramirez",25,2001
"Chad Tracy",25,2006
"Chad Tracy",25,2004
"Elvis Andrus",25,2011
"Cliff Pennington",25,2010
"Edwin Encarnacion",25,2006
"Nomar Garciaparra",25,2002
"Pedro Alvarez",25,2014
"Angel Berroa",25,2005
"Julio Lugo",25,2004
"David Wright",24,2005
"Desi Relaford",24,2000
"Alex Rodriguez",24,2006
"David Bell",24,2004
"Angel Berroa",24,2003
"Ian Desmond",24,2014
"Troy Glaus",24,2005
"Julio Lugo",24,2005
"Derek Jeter",24,2000
"Carlos Guillen",24,2007
"Hanley Ramirez",24,2007
"Miguel Tejada",24,2004
"Rafael Furcal",24,2004
"Edgar Renteria",24,2001
"Miguel Cabrera",23,2007
"Ronny Cedeno",23,2006
"Chase Headley",23,2015
"Pedro Alvarez",23,2015
"Ian Desmond",23,2011
"Ryan Zimmerman",23,2007
"Yuniesky Betancourt",23,2007
"Brandon Inge",23,2005
"Dean Palmer",23,2000
"Shea Hillenbrand",23,2002
"Kazuo Matsui",23,2004
"Josh Donaldson",23,2014
"Alfonso Soriano",23,2002
"Everth Cabrera",23,2009
"Rafael Furcal",23,2000
"Robin Ventura",23,2002
"Tony Pena",23,2007
"Chipper Jones",23,2000
"Alfonso Soriano",23,2004
"Adrian Beltre",23,2000
"Aramis Ramirez",23,2003
"Edwin Encarnacion",23,2008
"Elvis Andrus",22,2009
"Cristian Guzman",22,2000
"Julio Lugo",22,2001
"Brandon Inge",22,2006
"Alexei Ramirez",22,2013
"Scott Brosius",22,2001
"Tony Womack",22,2001
"Eric Hinske",22,2003
"Cliff Pennington",22,2011
"Hanley Ramirez",22,2008
"Elvis Andrus",22,2015
"Rickie Weeks",22,2006
"Miguel Tejada",22,2005
"Chipper Jones",22,2009
"Starlin Castro",22,2013
"Kevin Kouzmanoff",22,2007
"David Wright",21,2007
"Melvin Mora",21,2004
"Miguel Tejada",21,2000
"Miguel Tejada",21,2009
"Rickie Weeks",21,2005
"Alfonso Soriano",21,2005
"Yuniesky Betancourt",21,2008
"Miguel Tejada",21,2003
