"fullname","hr_total"
"Barry Bonds","762"
"Hank Aaron","755"
"Babe Ruth","714"
"Albert Pujols","703"
"Alex Rodriguez","696"
"Willie Mays","660"
"Ken Griffey","630"
"Jim Thome","612"
"Sammy Sosa","609"
"Frank Robinson","586"
"Mark McGwire","583"
"Harmon Killebrew","573"
"Rafael Palmeiro","569"
"Reggie Jackson","563"
"Manny Ramirez","555"
"Mike Schmidt","548"
"David Ortiz","541"
"Mickey Mantle","536"
"Jimmie Foxx","534"
"Frank Thomas","521"
"Ted Williams","521"
"Willie McCovey","521"
"Ernie Banks","512"
"Eddie Mathews","512"
"Mel Ott","511"
"Gary Sheffield","509"
"Miguel Cabrera","507"
"Eddie Murray","504"
"Lou Gehrig","493"
"Fred McGriff","493"
"Adrian Beltre","477"
"Stan Musial","475"
"Willie Stargell","475"
"Carlos Delgado","473"
"Chipper Jones","468"
"Dave Winfield","465"
"Jose Canseco","462"
"Adam Dunn","462"
"Nelson Cruz","459"
"Carl Yastrzemski","452"
"Jeff Bagwell","449"
"Vladimir Guerrero","449"
"Dave Kingman","442"
"Jason Giambi","440"
"Paul Konerko","439"
"Andre Dawson","438"
"Carlos Beltran","435"
"Juan Gonzalez","434"
"Andruw Jones","434"
"Cal Ripken","431"
"Mike Piazza","427"
"Billy Williams","426"
"Edwin Encarnacion","424"
"Darrell Evans","414"
"Alfonso Soriano","412"
"Mark Teixeira","409"
"Duke Snider","407"
"Andres Galarraga","399"
"Al Kaline","399"
"Dale Murphy","398"
"Joe Carter","396"
"Jim Edmonds","393"
"Graig Nettles","390"
"Johnny Bench","389"
"Aramis Ramirez","386"
"Dwight Evans","385"
"Harold Baines","384"
"Larry Walker","383"
"Ryan Howard","382"
"Frank Howard","382"
"Jim Rice","382"
"Albert Belle","381"
"Tony Perez","379"
"Orlando Cepeda","379"
"Matt Williams","378"
"Giancarlo Stanton","378"
"Jeff Kent","377"
"Norm Cash","377"
"Carlton Fisk","376"
"Rocky Colavito","374"
"Gil Hodges","370"
"Todd Helton","369"
"Ralph Kiner","369"
"Lance Berkman","366"
"Joe DiMaggio","361"
"Gary Gaetti","360"
"Johnny Mize","359"
"Yogi Berra","358"
"Carlos Lee","358"
"Greg Vaughn","355"
"Lee May","354"
"Luis Gonzalez","354"
"Torii Hunter","353"
"Ryan Braun","352"
"Ellis Burks","352"
"Dick Allen","351"
"Mike Trout","350"
"Chili Davis","350"
"George Foster","348"
"Jose Bautista","344"
