"teamid","hr","yearid","fullname"
"ARI",57,2001,"Luis Gonzalez"
"ATL",51,2005,"Andruw Jones"
"BAL",53,2013,"Chris Davis"
"BOS",54,2006,"David Ortiz"
"CHA",49,1998,"Albert Belle"
"CHN",66,1998,"Sammy Sosa"
"CIN",52,1977,"George Foster"
"CLE",52,2002,"Jim Thome"
"COL",49,1997,"Larry Walker"
"DET",58,1938,"Hank Greenberg"
"HOU",47,2000,"Jeff Bagwell"
"KCA",48,2021,"Salvador Perez"
"LAA",46,2021,"Shohei Ohtani"
"LAN",49,2001,"Shawn Green"
"MIA",59,2017,"Giancarlo Stanton"
"MIL",50,2007,"Prince Fielder"
"MIN",49,1964,"Harmon Killebrew"
"NYA",62,2022,"Aaron Judge"
"NYN",53,2019,"Pete Alonso"
"OAK",52,1996,"Mark McGwire"
"PHI",58,2006,"Ryan Howard"
"PIT",54,1949,"Ralph Kiner"
"SDN",50,1998,"Greg Vaughn"
"SEA",56,1997,"Ken Griffey"
"SFN",73,2001,"Barry Bonds"
"SLN",70,1998,"Mark McGwire"
"TBA",46,2007,"Carlos Pena"
"TEX",57,2002,"Alex Rodriguez"
"TOR",54,2010,"Jose Bautista"
"WAS",46,2006,"Alfonso Soriano"
