"teamid","hr","yearid","fullname"
"ALT",1,1884,"Jerry Moore"
"ANA",47,2000,"Troy Glaus"
"ARI",57,2001,"Luis Gonzalez"
"ATL",51,2005,"Andruw Jones"
"BAL",53,2013,"Chris Davis"
"BFN",14,1884,"Dan Brouthers"
"BFP",5,1890,"Sam Wise"
"BL1",7,1872,"Lip Pike"
"BL2",9,1887,"Thomas Burns"
"BL3",9,1891,"George Van Haltren"
"BL4",0,1873,"Frank Sellman"
"BLA",8,1902,"Jimmy Williams"
"BLF",10,1914,"Jimmy Walsh"
"BLN",10,1895,"Joe Kelley"
"BLU",5,1884,"Charlie Levis"
"BOS",54,2006,"David Ortiz"
"BR1",0,1872,"Dick Hunt"
"BR2",2,1873,"Jack Burdock"
"BR3",8,1889,"John Corkhill"
"BR4",4,1890,"Billy O'Brien"
"BRF",12,1915,"Benny Kauff"
"BRO",43,1956,"Duke Snider"
"BRP",7,1890,"Lou Bierbauer"
"BS1",6,1875,"Jim O'Rourke"
"BS2",12,1891,"Duke Farrell"
"BSN",38,1930,"Wally Berger"
"BSP",16,1890,"Hardy Richardson"
"BSU",12,1884,"Ed Crane"
"BUF",17,1915,"Hal Chase"
"CAL",39,1982,"Reggie Jackson"
"CH1",4,1871,"Fred Treacey"
"CH2",2,1874,"Ned Cuthbert"
"CHA",49,1998,"Albert Belle"
"CHF",16,1914,"Dutch Zwilling"
"CHN",66,1998,"Sammy Sosa"
"CHP",7,1890,"Hugh Duffy"
"CHU",4,1884,"Emil Gross"
"CIN",52,1977,"George Foster"
"CL1",3,1871,"John Bass"
"CL2",6,1882,"Mike Muldoon"
"CL3",6,1888,"Ed McKean"
"CL4",9,1898,"Ed McKean"
"CL5",7,1884,"Fred Mann"
"CL6",10,1891,"Charlie Duffee"
"CLE",52,2002,"Jim Thome"
"CLP",5,1890,"Patsy Tebeau"
"CN1",4,1877,"Lip Pike"
"CN2",19,1889,"Bug Holliday"
"CN3",7,1891,"Jim Canavan"
"CNU",4,1884,"Dick Burns"
