"birthcountry","country_representation"
"USA","17824"
"D.R.","859"
"Venezuela","461"
"P.R.","280"
"CAN","262"
"Cuba","232"
"Mexico","145"
"Japan","73"
"Panama","68"
"United Kingdom","51"
"Ireland","50"
"Germany","47"
"Australia","33"
"Colombia","30"
"South Korea","28"
"Taiwan","16"
"Curacao","16"
"Nicaragua","15"
"V.I.","14"
"Netherlands","11"
"Bahamas","8"
"Italy","7"
"France","7"
"Poland","6"
"Czech Republic","6"
"Russia","6"
"Aruba","6"
"Sweden","5"
"Brazil","5"
"Spain","4"
"Jamaica","4"
"Ukriane","3"
"Austria","3"
"Norway","3"
"Slovakia","2"
"Saudi Arabia","2"
"South Africa","2"
"Honduras","2"
"Guam","2"
"Viet Nam","1"
"Belize","1"
"Indonesia","1"
"Greece","1"
"Peru","1"
"Hong Kong","1"
"Latvia","1"
"Denmark","1"
"Philippines","1"
"At Sea","1"
"Switzerland","1"
"China","1"
"Afghanistan","1"
"Finland","1"
"Portugal","1"
"American Samoa","1"
"Singapore","1"
"Lithuania","1"
"Belgium","1"
