"fullname","playerid","year_played_for","schoolname"
"Al Lary","laryal01",1950,"University of Alabama"
"Al Worthington","worthal01",1949,"University of Alabama"
"Alex Avila","avilaal01",2006,"University of Alabama"
"Andy Cohen","cohenan01",1923,"University of Alabama"
"Andy Phillips","phillan01",1996,"University of Alabama"
"Bobby Sprowl","sprowbo01",1975,"University of Alabama"
"Bruce Connatser","connabr01",1925,"University of Alabama"
"Bryan Kelly","kellybr01",1981,"University of Alabama"
"Butch Hobson","hobsobu01",1970,"University of Alabama"
"Craig Shipley","shiplcr01",1982,"University of Alabama"
"Dan Boone","booneda01",1917,"University of Alabama"
"Dave Magadan","magadda01",1981,"University of Alabama"
"David Robertson","roberda08",2005,"University of Alabama"
"Del Pratt","prattde01",1908,"University of Alabama"
"Dustan Mohr","mohrdu01",1995,"University of Alabama"
"Ed White","whiteed01",1948,"University of Alabama"
"Ernie Wingard","wingaer01",1920,"University of Alabama"
"Frank Lary","laryfr01",1949,"University of Alabama"
"Frank Menechino","menecfr01",1992,"University of Alabama"
"Frank Pratt","prattfr01",1917,"University of Alabama"
"Fred Sington","singtfr01",1929,"University of Alabama"
"Grant Gillis","gilligr01",1922,"University of Alabama"
"Greg Hibbard","hibbagr01",1985,"University of Alabama"
"Hersh Freeman","freemhe01",1947,"University of Alabama"
"Ike Boone","booneik01",1919,"University of Alabama"
"Jack Kubiszyn","kubisja01",1956,"University of Alabama"
"Jackie Hayes","hayesja02",1926,"University of Alabama"
"Jeremy Brown","brownje02",1999,"University of Alabama"
"Jim Dunn","dunnji01",1947,"University of Alabama"
"Jim Sheehan","sheehji01",1934,"University of Alabama"
"Jim Tabor","taborji01",1935,"University of Alabama"
"Jimmy Nelson","nelsoji02",2008,"University of Alabama"
"Joe Sewell","seweljo01",1917,"University of Alabama"
"Joe Vitiello","vitiejo01",1989,"University of Alabama"
"John Campbell","campbjo01",1925,"University of Alabama"
"Josh Rutledge","rutlejo01",2008,"University of Alabama"
"Ken Sears","searske01",1936,"University of Alabama"
"Lance Cormier","cormila01",1999,"University of Alabama"
"Lee Rogers","rogerle01",1934,"University of Alabama"
"LeGrant Scott","scottle01",1933,"University of Alabama"
"Lena Styles","stylele01",1916,"University of Alabama"
"Luke Sewell","sewellu01",1919,"University of Alabama"
"Matt Downs","downsma01",2004,"University of Alabama"
"Max Rosenfeld","rosenma01",1922,"University of Alabama"
"Mo Sanford","sanfomo01",1985,"University of Alabama"
"Paul Phillips","phillpa01",1998,"University of Alabama"
"Randy Hunt","huntra01",1981,"University of Alabama"
"Ray Pepper","peppera01",1926,"University of Alabama"
"Red Barnes","barnere01",1924,"University of Alabama"
"Riggs Stephenson","stephri01",1918,"University of Alabama"
"Skeeter Scalzi","scalzsk01",1935,"University of Alabama"
"Syd Cohen","cohensy01",1925,"University of Alabama"
"Taylor Tankersley","tanketa01",2002,"University of Alabama"
"Tim Young","youngti01",1995,"University of Alabama"
"Tommy Hunter","hunteto02",2006,"University of Alabama"
"Tommy Sewell","sewelto01",1926,"University of Alabama"
"Verdo Elmore","elmorve01",1922,"University of Alabama"
"Vic Bradford","bradfvi01",1938,"University of Alabama"
"Wade LeBlanc","leblawa01",2004,"University of Alabama"
"Walter Hilcher","hilchwh01",1929,"University of Alabama"
