"fullname","yearid","hr","sb"
"Cedric Mullins",2021,30,30
"Ronald Acuna",2019,41,37
"Christian Yelich",2019,44,30
"Jose Ramirez",2018,39,34
"Mookie Betts",2018,32,30
"Ryan Braun",2012,41,30
"Mike Trout",2012,30,49
"Ryan Braun",2011,33,33
"Ian Kinsler",2011,32,30
"Matt Kemp",2011,39,40
"Jacoby Ellsbury",2011,32,39
"Ian Kinsler",2009,31,31
"Grady Sizemore",2008,33,38
"Hanley Ramirez",2008,33,35
"David Wright",2007,30,34
"Jimmy Rollins",2007,30,41
"Brandon Phillips",2007,30,32
"Alfonso Soriano",2006,46,41
"Alfonso Soriano",2005,36,30
"Bobby Abreu",2004,30,40
"Alfonso Soriano",2003,38,35
"Vladimir Guerrero",2002,39,40
"Alfonso Soriano",2002,39,41
"Bobby Abreu",2001,31,36
"Vladimir Guerrero",2001,34,37
"Jose Cruz",2001,34,32
"Preston Wilson",2000,31,36
"Jeff Bagwell",1999,42,30
"Raul Mondesi",1999,33,36
"Alex Rodriguez",1998,42,46
"Shawn Green",1998,35,35
"Larry Walker",1997,49,33
"Jeff Bagwell",1997,43,31
"Barry Bonds",1997,40,37
"Raul Mondesi",1997,30,32
"Barry Larkin",1996,33,36
"Ellis Burks",1996,40,32
"Barry Bonds",1996,42,40
"Dante Bichette",1996,31,31
"Barry Bonds",1995,33,31
"Sammy Sosa",1995,36,34
"Sammy Sosa",1993,33,36
"Barry Bonds",1992,34,39
"Howard Johnson",1991,38,30
"Ron Gant",1991,32,34
"Ron Gant",1990,32,33
"Barry Bonds",1990,33,52
"Howard Johnson",1989,36,41
"Jose Canseco",1988,42,40
"Eric Davis",1987,37,50
"Darryl Strawberry",1987,39,36
"Howard Johnson",1987,36,32
"Joe Carter",1987,32,31
"Dale Murphy",1983,36,30
"Bobby Bonds",1977,37,41
"Bobby Bonds",1975,32,30
"Bobby Bonds",1973,39,43
"Tommy Harper",1970,31,38
"Bobby Bonds",1969,32,45
"Hank Aaron",1963,44,31
"Willie Mays",1957,35,38
"Willie Mays",1956,36,40
"Ken Williams",1922,39,37
