"fullname","yearid","era","ipouts","teamid"
"Bob Gibson",1968,"1.12",914,"SLN"
"Dwight Gooden",1985,"1.53",830,"NYN"
"Greg Maddux",1994,"1.56",606,"ATL"
"Luis Tiant",1968,"1.6",775,"CLE"
"Greg Maddux",1995,"1.63",629,"ATL"
"Dean Chance",1964,"1.65",835,"LAA"
"Zack Greinke",2015,"1.66",668,"LAN"
"Jacob deGrom",2018,"1.7",651,"NYN"
"Sandy Koufax",1966,"1.73",969,"LAN"
"Ron Guidry",1978,"1.74",821,"NYA"
"Sandy Koufax",1964,"1.74",669,"LAN"
"Pedro Martinez",2000,"1.74",651,"BOS"
"Justin Verlander",2022,"1.75",525,"HOU"
"Tom Seaver",1971,"1.76",859,"NYN"
"Jake Arrieta",2015,"1.77",687,"CHN"
"Clayton Kershaw",2014,"1.77",595,"LAN"
"Sam McDowell",1968,"1.81",807,"CLE"
"Vida Blue",1971,"1.82",936,"OAK"
"Clayton Kershaw",2013,"1.83",708,"LAN"
"Roger Clemens",2005,"1.87",634,"HOU"
"Phil Niekro",1967,"1.87",621,"ATL"
"Joe Horlen",1964,"1.88",632,"CHA"
"Sandy Koufax",1963,"1.88",933,"LAN"
"Blake Snell",2018,"1.89",542,"TBA"
"Kevin Brown",1996,"1.89",699,"FLO"
"Pedro Martinez",1997,"1.9",724,"MON"
"Luis Tiant",1972,"1.91",537,"BOS"
"Wilbur Wood",1971,"1.91",1002,"CHA"
"Gaylord Perry",1972,"1.92",1028,"CLE"
"John Tudor",1985,"1.93",825,"SLN"
"Roger Clemens",1990,"1.93",685,"BOS"
"Dave McNally",1968,"1.95",819,"BAL"
"Denny McLain",1968,"1.96",1008,"DET"
"Steve Carlton",1972,"1.97",1039,"PHI"
"Tommy John",1968,"1.98",532,"CHA"
"Gary Peters",1966,"1.98",614,"CHA"
"Bobby Bolin",1968,"1.99",530,"SFN"
"Gary Nolan",1972,"1.99",528,"CIN"
"Orel Hershiser",1985,"2.03",719,"LAN"
"Sandy Koufax",1965,"2.04",1007,"LAN"
"Catfish Hunter",1972,"2.04",886,"OAK"
"Bob Veale",1968,"2.05",736,"PIT"
"Roger Clemens",1997,"2.05",792,"TOR"
"Stan Bahnsen",1968,"2.05",802,"NYA"
"Joe Horlen",1967,"2.06",774,"CHA"
"Jim Palmer",1972,"2.07",823,"BAL"
"Pedro Martinez",1999,"2.07",640,"BOS"
"Don Sutton",1972,"2.08",818,"LAN"
"Roger Nelson",1972,"2.08",520,"KCA"
"Jerry Koosman",1968,"2.08",791,"NYN"
"Bill Swift",1992,"2.08",494,"SFN"
"Tom Seaver",1973,"2.08",870,"NYN"
"Jim Palmer",1975,"2.09",969,"BAL"
"Juan Marichal",1969,"2.1",899,"SFN"
"Dave Roberts",1971,"2.1",809,"SDN"
"Dick Ellsworth",1963,"2.11",872,"CHN"
"Steve Blass",1968,"2.12",661,"PIT"
"Kyle Hendricks",2016,"2.13",570,"CHN"
"Clayton Kershaw",2015,"2.13",698,"LAN"
"Whitey Ford",1964,"2.13",734,"NYA"
"Juan Marichal",1965,"2.13",886,"SFN"
"Felix Hernandez",2014,"2.14",708,"SEA"
"Vern Law",1965,"2.15",652,"PIT"
"Don Drysdale",1968,"2.15",717,"LAN"
"Zack Greinke",2009,"2.16",688,"KCA"
"Bret Saberhagen",1989,"2.16",787,"KCA"
"Julio Urias",2022,"2.16",525,"LAN"
"Bob Tewksbury",1992,"2.16",699,"SLN"
"Chris Sale",2014,"2.17",522,"CHA"
"Steve Carlton",1969,"2.17",709,"SLN"
"Don Drysdale",1964,"2.18",964,"LAN"
"Bob Gibson",1969,"2.18",942,"SLN"
"Sam McDowell",1965,"2.18",819,"CLE"
"Joe Magrane",1988,"2.18",496,"SLN"
"Greg Maddux",1992,"2.18",804,"CHN"
"Jose Fernandez",2013,"2.19",518,"MIA"
"Dick Bosman",1969,"2.19",579,"WS2"
"Chris Short",1964,"2.2",662,"PHI"
"Don Sutton",1980,"2.2",637,"LAN"
"Dylan Cease",2022,"2.2",552,"CHA"
"Greg Maddux",1997,"2.2",698,"ATL"
"Tom Seaver",1968,"2.2",833,"NYN"
"Tom Seaver",1969,"2.21",820,"NYN"
"Danny Darwin",1990,"2.21",488,"HOU"
"Hank Aguirre",1962,"2.21",648,"DET"
"Trevor Bauer",2018,"2.21",526,"CLE"
"Mike Scott",1986,"2.22",826,"HOU"
"David Cone",1988,"2.22",694,"NYN"
"Mike Cuellar",1966,"2.22",682,"HOU"
"Greg Maddux",1998,"2.22",753,"ATL"
"Pedro Martinez",2003,"2.22",560,"BOS"
"Juan Marichal",1966,"2.23",922,"SFN"
"Alek Manoah",2022,"2.24",590,"TOR"
"Chris Carpenter",2009,"2.24",578,"SLN"
"Randy Jones",1975,"2.24",855,"SDN"
"Johnny Cueto",2014,"2.25",731,"CIN"
"Corey Kluber",2017,"2.25",611,"CLE"
"Atlee Hammaker",1983,"2.25",517,"SFN"
"Ray Washburn",1968,"2.26",645,"SLN"
"Pedro Martinez",2002,"2.26",598,"BOS"
